,CH1,CH2
Second,Volt,Volt
3.96000e-04,-1.40e-01,-2.00e-02, 
3.98000e-04,8.00e-02,-2.00e-02, 
4.00000e-04,1.20e-01,-4.00e-02, 
4.02000e-04,3.40e-01,-2.00e-02, 
4.04000e-04,3.40e-01,-2.00e-02, 
4.06000e-04,5.40e-01,-4.00e-02, 
4.08000e-04,5.60e-01,-2.00e-02, 
4.10000e-04,7.40e-01,-4.00e-02, 
4.12000e-04,7.60e-01,-4.00e-02, 
4.14000e-04,8.80e-01,-2.00e-02, 
4.16000e-04,9.00e-01,-4.00e-02, 
4.18000e-04,9.80e-01,-2.00e-02, 
4.20000e-04,9.80e-01,-4.00e-02, 
4.22000e-04,1.00e+00,-2.00e-02, 
4.24000e-04,1.00e+00,-4.00e-02, 
4.26000e-04,9.60e-01,-2.00e-02, 
4.28000e-04,9.60e-01,-4.00e-02, 
4.30000e-04,8.80e-01,-2.00e-02, 
4.32000e-04,8.60e-01,-4.00e-02, 
4.34000e-04,7.40e-01,-2.00e-02, 
4.36000e-04,7.20e-01,-2.00e-02, 
4.38000e-04,5.40e-01,-4.00e-02, 
4.40000e-04,5.20e-01,-2.00e-02, 
4.42000e-04,3.40e-01,-4.00e-02, 
4.44000e-04,3.20e-01,-4.00e-02, 
4.46000e-04,1.00e-01,-2.00e-02, 
4.48000e-04,4.00e-02,-2.00e-02, 
4.50000e-04,-1.60e-01,-4.00e-02, 
4.52000e-04,-1.80e-01,-2.00e-02, 
4.54000e-04,-4.00e-01,-2.00e-02, 
4.56000e-04,-4.40e-01,-2.00e-02, 
4.58000e-04,-6.00e-01,-4.00e-02, 
4.60000e-04,-6.40e-01,-4.00e-02, 
4.62000e-04,-7.60e-01,-2.00e-02, 
