,CH1,CH2
Second,Volt,Volt
3.92000e-01,8.40e-01,7.60e-01, 
3.96000e-01,9.00e-01,8.40e-01, 
4.00000e-01,9.00e-01,8.40e-01, 
4.04000e-01,9.40e-01,8.80e-01, 
4.08000e-01,9.80e-01,9.20e-01, 
4.12000e-01,9.60e-01,9.00e-01, 
4.16000e-01,1.00e+00,9.20e-01, 
4.20000e-01,9.80e-01,9.40e-01, 
4.24000e-01,1.00e+00,9.20e-01, 
4.28000e-01,9.80e-01,9.40e-01, 
4.32000e-01,9.80e-01,9.20e-01, 
4.36000e-01,9.40e-01,8.80e-01, 
4.40000e-01,9.20e-01,8.60e-01, 
4.44000e-01,8.80e-01,8.40e-01, 
4.48000e-01,8.80e-01,8.40e-01, 
4.52000e-01,8.00e-01,7.40e-01, 
4.56000e-01,8.00e-01,7.40e-01, 
4.60000e-01,7.40e-01,6.80e-01, 
4.64000e-01,7.00e-01,6.20e-01, 
4.68000e-01,6.00e-01,5.60e-01, 
4.72000e-01,6.20e-01,5.60e-01, 
4.76000e-01,4.60e-01,4.20e-01, 
4.80000e-01,4.60e-01,4.20e-01, 
4.84000e-01,3.80e-01,3.40e-01, 
4.88000e-01,3.20e-01,2.60e-01, 
4.92000e-01,2.20e-01,1.80e-01, 
4.96000e-01,1.60e-01,1.20e-01, 
5.00000e-01,6.00e-02,0.00e+00, 
5.04000e-01,4.00e-02,2.00e-02, 
5.08000e-01,-1.20e-01,-1.60e-01, 
5.12000e-01,-1.00e-01,-1.60e-01, 
5.16000e-01,-2.20e-01,-2.40e-01, 
5.20000e-01,-3.00e-01,-3.20e-01, 
5.24000e-01,-3.80e-01,-4.00e-01, 
5.28000e-01,-3.80e-01,-4.20e-01, 
5.32000e-01,-5.20e-01,-5.60e-01, 
5.36000e-01,-5.20e-01,-5.60e-01, 
5.40000e-01,-6.00e-01,-6.40e-01, 
5.44000e-01,-6.40e-01,-7.00e-01, 
5.48000e-01,-7.20e-01,-7.60e-01, 
5.52000e-01,-7.40e-01,-8.00e-01, 
5.56000e-01,-8.00e-01,-8.60e-01, 
5.60000e-01,-8.00e-01,-8.60e-01, 
5.64000e-01,-8.60e-01,-9.00e-01, 
5.68000e-01,-8.80e-01,-9.40e-01, 
5.72000e-01,-9.20e-01,-9.60e-01, 
5.76000e-01,-9.60e-01,-1.00e+00, 
5.80000e-01,-9.40e-01,-9.80e-01, 
5.84000e-01,-9.40e-01,-1.00e+00, 
5.88000e-01,-9.60e-01,-1.02e+00, 
5.92000e-01,-9.40e-01,-1.02e+00, 
5.96000e-01,-9.60e-01,-9.80e-01, 
6.00000e-01,-9.40e-01,-9.80e-01, 
6.04000e-01,-8.80e-01,-9.40e-01, 
6.08000e-01,-8.80e-01,-9.20e-01, 
6.12000e-01,-8.20e-01,-8.80e-01, 
6.16000e-01,-8.40e-01,-8.80e-01, 
6.20000e-01,-7.80e-01,-8.40e-01, 
6.24000e-01,-7.40e-01,-8.00e-01, 
6.28000e-01,-6.60e-01,-7.20e-01, 
6.32000e-01,-6.00e-01,-6.60e-01, 
6.36000e-01,-5.20e-01,-6.00e-01, 
6.40000e-01,-5.40e-01,-6.00e-01, 
6.44000e-01,-3.80e-01,-4.60e-01, 
6.48000e-01,-3.80e-01,-4.40e-01, 
6.52000e-01,-3.00e-01,-3.60e-01, 
6.56000e-01,-2.40e-01,-3.00e-01, 
6.60000e-01,-1.60e-01,-2.20e-01, 
6.64000e-01,-1.60e-01,-2.20e-01, 
6.68000e-01,2.00e-02,-2.00e-02, 
6.72000e-01,2.00e-02,-2.00e-02, 
6.76000e-01,1.20e-01,6.00e-02, 
6.80000e-01,2.00e-01,1.40e-01, 
6.84000e-01,2.80e-01,2.20e-01, 
6.88000e-01,3.60e-01,2.80e-01, 
6.92000e-01,4.60e-01,3.80e-01, 
6.96000e-01,4.40e-01,3.80e-01, 
7.00000e-01,5.20e-01,4.40e-01, 
7.04000e-01,5.60e-01,5.20e-01, 
7.08000e-01,6.60e-01,5.80e-01, 
7.12000e-01,7.20e-01,6.40e-01, 
7.16000e-01,7.60e-01,7.00e-01, 
7.20000e-01,7.60e-01,7.00e-01, 
7.24000e-01,8.80e-01,8.20e-01, 
7.28000e-01,8.60e-01,8.00e-01, 
7.32000e-01,9.00e-01,8.40e-01, 
7.36000e-01,9.60e-01,8.80e-01, 
7.40000e-01,9.20e-01,9.00e-01, 
7.44000e-01,9.80e-01,9.20e-01, 
7.48000e-01,1.00e+00,9.40e-01, 
7.52000e-01,1.00e+00,9.20e-01, 
7.56000e-01,9.60e-01,9.60e-01, 
7.60000e-01,1.00e+00,9.20e-01, 
7.64000e-01,9.60e-01,9.20e-01, 
7.68000e-01,9.60e-01,9.00e-01, 
7.72000e-01,9.20e-01,8.60e-01, 
7.76000e-01,9.20e-01,8.60e-01, 
7.80000e-01,8.40e-01,7.80e-01, 
7.84000e-01,8.40e-01,7.80e-01, 
7.88000e-01,7.80e-01,7.40e-01, 
7.92000e-01,7.40e-01,7.00e-01, 
7.96000e-01,7.00e-01,6.40e-01, 
8.00000e-01,6.80e-01,6.40e-01, 
8.04000e-01,5.40e-01,5.00e-01, 
8.08000e-01,5.40e-01,4.80e-01, 
8.12000e-01,4.80e-01,4.20e-01, 
8.16000e-01,4.00e-01,3.40e-01, 
8.20000e-01,3.20e-01,2.80e-01, 
8.24000e-01,2.40e-01,1.80e-01, 
8.28000e-01,1.60e-01,1.20e-01, 
8.32000e-01,1.40e-01,1.20e-01, 
8.36000e-01,4.00e-02,2.00e-02, 
8.40000e-01,-2.00e-02,-6.00e-02, 
8.44000e-01,-1.20e-01,-1.60e-01, 
8.48000e-01,-1.80e-01,-2.40e-01, 
8.52000e-01,-2.80e-01,-3.20e-01, 
8.56000e-01,-2.80e-01,-3.20e-01, 
8.60000e-01,-4.60e-01,-5.00e-01, 
8.64000e-01,-4.40e-01,-4.80e-01, 
8.68000e-01,-5.20e-01,-5.60e-01, 
8.72000e-01,-5.80e-01,-6.20e-01, 
8.76000e-01,-6.60e-01,-7.00e-01, 
8.80000e-01,-7.00e-01,-7.40e-01, 
8.84000e-01,-7.60e-01,-8.00e-01, 
8.88000e-01,-7.40e-01,-8.00e-01, 
8.92000e-01,-8.00e-01,-8.60e-01, 
8.96000e-01,-8.40e-01,-8.80e-01, 
9.00000e-01,-8.80e-01,-9.40e-01, 
9.04000e-01,-9.20e-01,-9.60e-01, 
9.08000e-01,-9.60e-01,-9.80e-01, 
9.12000e-01,-9.40e-01,-9.80e-01, 
9.16000e-01,-9.60e-01,-1.02e+00, 
9.20000e-01,-9.60e-01,-1.00e+00, 
9.24000e-01,-9.40e-01,-1.02e+00, 
9.28000e-01,-9.60e-01,-1.02e+00, 
9.32000e-01,-9.20e-01,-9.80e-01, 
9.36000e-01,-9.40e-01,-9.80e-01, 
9.40000e-01,-8.80e-01,-9.20e-01, 
9.44000e-01,-8.80e-01,-9.20e-01, 
9.48000e-01,-8.20e-01,-8.80e-01, 
9.52000e-01,-8.00e-01,-8.40e-01, 
9.56000e-01,-7.40e-01,-8.00e-01, 
9.60000e-01,-6.80e-01,-7.20e-01, 
9.64000e-01,-6.20e-01,-6.80e-01, 
